id,Original_instruction,Sequence_of_previous_action,Admissiable_action,Logits_from_LLM,optimal_action
0,,['reset'],[],[],
0,"i need a long clip-in hair extension which is natural looking, and price lower than 30.00 dollars","['reset', 'search[long clip-in hair extension natural-looking price under 30$]']","['search[long clip-in hair extension natural-looking price under 30$]', 'search [long clip-in hair extension natural looking]', 'search[long clip-in hair extension natural looking price under 30.00]', 'search[long clip-in hair extension natural looking]', 'search[natural clip in hair extension price lower than 30 dollars]', 'search[long clip-in hair extension natural looking]', 'search[long natural looking hair extension price under 30]', 'search[natural looking clip-in hair extension price under 30.00 dollars]', 'search[long clip-in hair extension natural looking price lower then 30.00 dollars]', 'search[long clip-in hair extension natural look lower than 30.00 dollars]']","[[-0.3268876373767853, -0.4243965744972229, -0.175075501203537, -0.026152970269322395, -0.17019984126091003, -0.022560251876711845, -0.015474372543394566, -0.04583572596311569, -4.515493869781494, -0.3781197667121887, -0.45146000385284424, -0.009601720608770847, -0.003116871230304241, -0.0017794027226045728, -0.9192532300949097, -0.06588625907897949], [-0.33874940872192383, -5.29899787902832, -0.23918920755386353, -0.018115894868969917, -0.23718370497226715, -0.012544183060526848, -0.011281982064247131, -0.03979145735502243, -0.08918820321559906, -0.9220487475395203], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -0.024642346426844597, -0.1700168251991272, -0.02269182726740837, -0.015478011220693588, -0.045862484723329544, -0.1402442455291748, -0.42886883020401, -0.3141160309314728, -0.006088519003242254, -0.003539846045896411, -0.00158946483861655, -0.9847583770751953, -0.00421231659129262, -0.021887997165322304, -0.966440737247467], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -0.024642346426844597, -0.1700168251991272, -0.02269182726740837, -0.015478011220693588, -0.045862484723329544, -0.1402442455291748, -1.3038687705993652], [-0.33874940872192383, -1.2989979982376099, -0.0023836076725274324, -1.6185492277145386, -1.4223732948303223, -0.07065704464912415, -0.07711581885814667, -0.7293943166732788, -1.402336835861206, -0.1656210720539093, -0.012765477411448956, -0.004512603394687176, -0.0016862234333530068, -2.4195611476898193, -0.09887124598026276], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -0.024642346426844597, -0.1700168251991272, -0.02269182726740837, -0.015478011220693588, -0.045862484723329544, -0.1402442455291748, -1.3038687705993652], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -4.649642467498779, -0.8796111345291138, -1.3672828674316406, -0.1995120793581009, -0.3670722246170044, -0.42271992564201355, -0.010759319178760052, -0.004532065242528915, -0.00201011192984879, -3.248544931411743], [-0.33874940872192383, -1.2989979982376099, -0.0023836076725274324, -0.4935491979122162, -0.28327545523643494, -0.26329874992370605, -0.011975770816206932, -0.030473604798316956, -0.46482589840888977, -0.4628792703151703, -0.013988427817821503, -0.004449586383998394, -0.001759529928676784, -1.0332753658294678, -0.003485083347186446, -0.01436017919331789, -0.7657197713851929, -0.0716775432229042], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -0.024642346426844597, -0.1700168251991272, -0.02269182726740837, -0.015478011220693588, -0.045862484723329544, -0.1402442455291748, -0.42886883020401, -1.5641160011291504, -2.375288248062134, -0.011021686717867851, -0.0047770896926522255, -0.0018609125399962068, -0.6677956581115723, -0.011027817614376545, -0.022141631692647934, -0.754841685295105, -0.09195664525032043], [-0.33874940872192383, -0.42399799823760986, -0.19286826252937317, -0.024642346426844597, -0.1700168251991272, -0.02269182726740837, -0.015478011220693588, -0.045862484723329544, -4.390244483947754, -3.3411338329315186, -0.27597755193710327, -0.017965801060199738, -0.004022484179586172, -0.0023442425299435854, -0.46879374980926514, -0.003585103200748563, -0.014094455167651176, -0.4766995906829834, -0.08971547335386276]]","search[long clip-in hair extension natural-looking price under 30$]
"
0,"i need a long clip-in hair extension which is natural looking, and price lower than 30.00 dollars","['reset', 'search[long clip-in hair extension natural-looking price under 30$]', 'click[B01HKMVTXC]']","['click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]', 'click[B01HKMVTXC]']","[[-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567], [-0.008012769743800163, -0.010060672648251057, -0.00018034738604910672, -0.0014418693026527762, -8.070142939686775e-05, -0.0002300474588992074, -5.602820692729438e-06, -0.00022897482267580926, -0.008671249262988567]]",click[B01HKMVTXC]
0,"i need a long clip-in hair extension which is natural looking, and price lower than 30.00 dollars","['reset', 'search[long clip-in hair extension natural-looking price under 30$]', 'click[B01HKMVTXC]', 'click[1b-off black]']","['find‘dark brown-4#’', 'click[1b-off black]', 'click[1b-off black]', 'click[dirty brown | bleach blonde highlights-12h613]', 'click[1b-off black]', 'click[1b-off black]', 'click[1b-off black]', 'click[1b-off black]', 'click[1b-off black]', 'click[light blonde-613]']","[[-9.515715599060059, -9.359989166259766, -1.8770558834075928, -0.18219244480133057, -1.6700503826141357, -0.005759548861533403, -0.1922416090965271, -0.29518961906433105, -0.4689212441444397], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -3.561526298522949, -0.0012891324004158378, -0.0040803044103085995, -0.00022742546570952982, -4.9470632802695036e-05, -0.001257344032637775, -0.006452677771449089, -0.001013599568977952, -0.012217682786285877, -0.0017754758009687066, -0.0007098776986822486, -0.00041952868923544884, -0.0007778956205584109, -0.023123495280742645], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -0.3115263879299164, -0.018408291041851044, -0.0027864461299031973, -0.0020078516099601984, -0.025964586064219475], [-0.015603598207235336, -0.2799314856529236, -2.311526298522949, -0.002454841509461403, -0.009926951490342617, -0.0006741396500729024, -0.0014525825390592217, -0.002166782971471548, -0.1963522881269455]]",click[1b-off black]
0,"i need a long clip-in hair extension which is natural looking, and price lower than 30.00 dollars","['reset', 'search[long clip-in hair extension natural-looking price under 30$]', 'click[B01HKMVTXC]', 'click[1b-off black]', 'click[Buy Now]']","['click[Buy Now]', 'click[natural black | dark auburn mixed-2 | 33#]', 'click[Buy Now]', 'click[Buy Now]', 'click[Buy Now]', 'click[strawberry blonde | bleach blonde highlights-27h613]', 'click[natural black | medium auburn mixed-2 | 30#]', 'click[natural black | medium auburn mixed-2 | 30#]', 'click[natural color close to black-2#]', 'click[Buy Now]']","[[-0.01628454588353634, -0.8658652305603027, -0.1727859228849411, -0.0014980534324422479, -0.5879856944084167, -0.07042808830738068], [-0.015767190605401993, -0.9948536157608032, -0.0016085079405456781, -0.6511552333831787, -0.011920408345758915, -0.5728252530097961, -0.001293299370445311, -3.099393507000059e-05, -0.0003251500893384218, -0.0003682888636831194, -0.0026505598798394203, -0.003126021707430482, -0.0047973766922950745, -0.0014054430648684502, -0.0006353028584271669, -0.01400582492351532, -0.006629970856010914, -0.04821275174617767], [-0.015767190605401993, -0.8698536157608032, -0.1738450676202774, -0.0013955625472590327, -2.1025283336639404], [-0.015767190605401993, -0.8698536157608032, -0.1738450676202774, -0.0013955625472590327, -0.6025282740592957, -0.07015051692724228], [-0.015767190605401993, -0.8698536157608032, -0.1738450676202774, -0.0013955625472590327, -1.7275283336639404], [-0.015767190605401993, -4.994853496551514, -0.000436091679148376, -2.47952248173533e-05, -0.00038818930624984205, -0.0031956578604876995, -0.00039009589818306267, -5.352353764465079e-05, -0.0011147005716338754, -0.005148960277438164, -0.004394398536533117, -0.0017692878609523177, -0.0024723222013562918, -0.0014366315444931388, -0.000871159543748945, -0.0008400725200772285, -0.0662698894739151], [-0.015767190605401993, -0.9948536157608032, -0.0016085079405456781, -0.6511552333831787, -0.011920408345758915, -0.9478252530097961, -0.0008547228644602001, -6.794906312279636e-06, -0.0004568248405121267, -0.0002315968304174021, -0.0036239444743841887, -0.012461184523999691, -0.0059294989332556725, -0.0017215682892128825, -0.0006507901125587523, -0.04537080600857735, -0.010158266872167587, -0.0367463156580925], [-0.015767190605401993, -0.9948536157608032, -0.0016085079405456781, -0.6511552333831787, -0.011920408345758915, -0.9478252530097961, -0.0008547228644602001, -6.794906312279636e-06, -0.0004568248405121267, -0.0002315968304174021, -0.0036239444743841887, -0.012461184523999691, -0.0059294989332556725, -0.0017215682892128825, -0.0006507901125587523, -0.04537080600857735, -0.010158266872167587, -0.0367463156580925], [-0.015767190605401993, -0.9948536157608032, -0.0016085079405456781, -0.7761552333831787, -0.008635204285383224, -0.0010776671115309, -0.001057423185557127, -0.009468883275985718, -0.0015334049239754677, -0.007446982432156801, -0.059785034507513046], [-0.015767190605401993, -0.8698536157608032, -0.1738450676202774, -0.0013955625472590327, -0.6025282740592957, -0.07015051692724228]]",click[Buy Now]
,,,,,
1,,['reset'],[],[],
1,"i want a noise cancelling cosycost usb microphone, and price lower than 70.00 dollars","['reset', 'search[noise cancelling cosycost usb microphone price under 70.00]']","['', 'search[noise cancelling cosycost usb microphone price under 70$]', 'search[noise cancelling cosycost usb microphone price under 70$]', 'search[noise cancelling cosycost usb microphone price under 70$]', 'search[noise cancelling cosycost usb microphone price under 70.00]', 'search[noise cancelling cosycost usb microphone]', 'search[noise cancelling cosycost usb microphone and price lower than 70.00 dollars]', 'search[noise cancel cosycost usb microphone price under 70dollar]', 'search[noise cancelling cosycost usb microphone price under 70$]', 'search[noise cancelling cosycost usb microphone price under 70.00 dollars]']","[[-2.4354946613311768], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -0.7372027039527893, -0.060386624187231064], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -0.7372027039527893, -0.060386624187231064], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -0.7372027039527893, -0.060386624187231064], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -1.1122026443481445, -0.004155453760176897, -0.01397737767547369, -0.7648439407348633], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -2.411086082458496], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -5.161086082458496, -0.07143239676952362, -0.545813798904419, -0.10370330512523651, -0.006354010198265314, -0.0071075689047575, -0.0010627818992361426, -0.12575146555900574, -0.0018161722691729665, -0.0017206162447109818, -0.23308250308036804, -0.09966225922107697], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -2.585819959640503, -3.0778841972351074, -0.02142440900206566, -0.0012960376916453242, -0.04954153671860695, -0.043188195675611496, -0.22161689400672913, -0.359604150056839, -0.0065450589172542095, -0.008269711397588253, -0.001903866184875369, -6.1070475578308105, -0.10568409413099289, -0.16381584107875824], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -0.7372027039527893, -0.060386624187231064], [-0.27277740836143494, -0.13088299334049225, -0.022752540186047554, -0.08581992238759995, -0.029735142365098, -0.0021275284234434366, -6.139089964563027e-05, -0.012487555854022503, -0.011501789093017578, -0.16108618676662445, -0.3264872133731842, -0.005071157589554787, -0.008390532806515694, -0.0013983005192130804, -1.1122026443481445, -0.004155453760176897, -0.01397737767547369, -1.1398439407348633, -0.06373672187328339]]","search[i want a noise cancelling cosycost usb microphone, and price lower than 70.00 dollars]"
1,"i want a noise cancelling cosycost usb microphone, and price lower than 70.00 dollars","['reset', 'search[noise cancelling cosycost usb microphone price under 70.00]', 'click[B0972Q1T8T]']","['click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]', 'click[B0972Q1T8T]']","[[-0.008840233087539673, -0.008874026127159595, -0.00021050144277978688, -0.0031266158912330866, -5.674201020156033e-05, -6.580135959666222e-05, -0.00014172980445437133, -4.088794958079234e-05, -7.807903602952138e-05, -6.496695277746767e-05, -0.0006498370785266161, -0.00964670442044735], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -5.509785175323486, -1.0467464923858643], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649], [-0.009953743778169155, -0.00846890453249216, -0.00020668754586949944, -0.003241168335080147, -6.4490144723095e-05, -6.639736966462806e-05, -0.00013767725613433868, -4.053033626405522e-05, -7.414542778860778e-05, -5.817244164063595e-05, -0.0006456674309447408, -0.009785185568034649]]",click[B0972Q1T8T]
1,"i want a noise cancelling cosycost usb microphone, and price lower than 70.00 dollars","['reset', 'search[noise cancelling cosycost usb microphone price under 70.00]', 'click[B0972Q1T8T]', 'click[Noise Cancelling Instant Mute Studio Mic]']","['click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]', 'click[Noise Cancelling Instant Mute Studio Mic]']","[[-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297], [-0.01952090859413147, -0.02458023466169834, -0.08191188424825668, -0.018719086423516273, -2.9682672902708873e-05, -0.004322115797549486, -0.001972516765818, -0.0010190776083618402, -0.04289564862847328, -0.004107610322535038, -0.03523067757487297]]",click[Buy Now]
